TA,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
lower hutt city,Stokes Valley,3,41,433219.41,2016-12-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,30,242388.28999999998,2016-12-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,8,66,685026.52,2016-12-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,561249.4700000001,2016-12-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,92,1011820.0100000002,2016-12-01,25
dunedin city,Dunedin Central/Green Island,10,143,1322756.5400000003,2017-12-01,25
lower hutt city,Other - Lower Hutt City,3,46,425603.90000000026,2017-12-01,25
lower hutt city,Stokes Valley,3,38,410300.11,2017-12-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,4,39,332849.3600000001,2017-12-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,8,73,725171.3100000002,2017-12-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,584954.83,2017-12-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,6,88,1002185.3900000001,2017-12-01,25
dunedin city,Dunedin Central/Green Island,9,131,1412908.7899999998,2018-12-01,25
lower hutt city,Other - Lower Hutt City,3,46,482100.49,2018-12-01,25
lower hutt city,Stokes Valley,3,38,355742.05,2018-12-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,641901.71,2018-12-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,6,88,1080695.1600000001,2018-12-01,25
dunedin city,Dunedin Central/Green Island,9,131,1395000.5600000003,2019-12-01,25
lower hutt city,Other - Lower Hutt City,3,46,523029.5999999999,2019-12-01,25
lower hutt city,Stokes Valley,2,25,372067.69,2019-12-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,60,622831.3399999999,2019-12-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,5,76,1067870.4500000002,2019-12-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,4,27,179694.06,2012-06-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,9,64,578832.4099999999,2012-06-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,222561.80000000002,2013-06-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,9,64,612140.55,2013-06-01,25
dunedin city,Dunedin Central/Green Island,13,179,1421718.7999999998,2014-06-01,25
lower hutt city,Other - Lower Hutt City,4,46,308956.70999999996,2014-06-01,25
lower hutt city,Stokes Valley,3,40,393256.31,2014-06-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,231195.18,2014-06-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,59,630232.5300000001,2014-06-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,7,82,508467.69,2014-06-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,93,862342.23,2014-06-01,25
dunedin city,Dunedin Central/Green Island,11,149,1299700.78,2015-06-01,25
lower hutt city,Other - Lower Hutt City,4,50,318921.55999999994,2015-06-01,25
lower hutt city,Stokes Valley,3,41,380299.15,2015-06-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,200238.25,2015-06-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,58,649722,2015-06-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,6,67,546126.65,2015-06-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,93,843410.04,2015-06-01,25
dunedin city,Dunedin Central/Green Island,9,138,1321168.5399999998,2016-06-01,25
lower hutt city,Other - Lower Hutt City,4,50,355136.95999999996,2016-06-01,25
lower hutt city,Stokes Valley,3,41,351521.8,2016-06-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,24,229852.07,2016-06-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,58,673442.09,2016-06-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,518807.30999999994,2016-06-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,93,924613.0599999999,2016-06-01,25
dunedin city,Dunedin Central/Green Island,10,143,1275361.72,2017-06-01,25
lower hutt city,Other - Lower Hutt City,4,50,389309.5799999998,2017-06-01,25
lower hutt city,Stokes Valley,3,41,399737.07999999996,2017-06-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,30,241849.4700000001,2017-06-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,8,73,683181.2000000002,2017-06-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,564792.3300000002,2017-06-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,6,88,939002.2700000003,2017-06-01,25
dunedin city,Dunedin Central/Green Island,9,132,1144954.43,2018-06-01,25
lower hutt city,Other - Lower Hutt City,3,46,512139.9200000001,2018-06-01,25
lower hutt city,Stokes Valley,3,38,449995.32999999996,2018-06-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,8,73,674894.8000000003,2018-06-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,4,39,301754.7000000001,2018-06-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,641968.18,2018-06-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,6,88,1162135.0700000003,2018-06-01,25
dunedin city,Dunedin Central/Green Island,9,132,1403727.67,2019-06-01,25
lower hutt city,Other - Lower Hutt City,3,46,483016.2199999999,2019-06-01,25
lower hutt city,Stokes Valley,2,25,346938.77,2019-06-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,60,699346.19,2019-06-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,6,88,1020855.47,2019-06-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,4,27,177396.66,2012-03-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,59,613943.41,2012-03-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,230965.62,2013-03-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,9,64,573412.87,2013-03-01,25
dunedin city,Dunedin Central/Green Island,13,179,1318988.8,2014-03-01,25
lower hutt city,Other - Lower Hutt City,5,49,280402.24,2014-03-01,25
lower hutt city,Stokes Valley,3,40,347260.41000000003,2014-03-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,218010.16,2014-03-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,59,620367.72,2014-03-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,9,105,781644.1900000001,2014-03-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,93,781212.7600000001,2014-03-01,25
dunedin city,Dunedin Central/Green Island,12,153,1217129.1099999999,2015-03-01,25
lower hutt city,Other - Lower Hutt City,4,50,300652.87999999995,2015-03-01,25
lower hutt city,Stokes Valley,3,41,308876.73,2015-03-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,204616.53000000003,2015-03-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,58,600119.4999999999,2015-03-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,6,67,485071.37,2015-03-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,93,781189.11,2015-03-01,25
dunedin city,Dunedin Central/Green Island,9,138,1183654.1300000001,2016-03-01,25
lower hutt city,Other - Lower Hutt City,4,50,332075.29000000004,2016-03-01,25
lower hutt city,Stokes Valley,3,41,326089.54,2016-03-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,24,194147.34999999998,2016-03-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,58,631754.59,2016-03-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,494535.66000000003,2016-03-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,93,849724.9600000001,2016-03-01,25
dunedin city,Dunedin Central/Green Island,9,138,1243966.31,2017-03-01,25
lower hutt city,Other - Lower Hutt City,4,50,363657.99999999994,2017-03-01,25
lower hutt city,Stokes Valley,3,41,393076.67000000004,2017-03-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,30,244886.4300000001,2017-03-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,8,69,678071.7500000002,2017-03-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,549023.1,2017-03-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,6,88,946162.7299999999,2017-03-01,25
dunedin city,Dunedin Central/Green Island,10,143,1432692.09,2018-03-01,25
lower hutt city,Other - Lower Hutt City,3,46,419827.9900000002,2018-03-01,25
lower hutt city,Stokes Valley,3,38,389579.27999999997,2018-03-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,4,39,300619.4,2018-03-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,8,73,677312.77,2018-03-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,591687.4399999998,2018-03-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,6,88,1046465.91,2018-03-01,25
dunedin city,Dunedin Central/Green Island,9,132,1307691.2799999998,2019-03-01,25
lower hutt city,Other - Lower Hutt City,3,46,432946.93000000005,2019-03-01,25
lower hutt city,Stokes Valley,2,25,286674.9,2019-03-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,60,662090.9400000001,2019-03-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,6,88,970244.7100000001,2019-03-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,4,18,68281.76,2011-09-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,57,675427.7699999999,2011-09-01,25
dunedin city,Dunedin Central/Green Island,13,177,1454812.3099999998,2014-09-01,25
lower hutt city,Other - Lower Hutt City,3,28,148388.49,2014-09-01,25
lower hutt city,Stokes Valley,3,40,380096.23,2014-09-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,210017.68,2014-09-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,59,677327.4600000001,2014-09-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,7,64,480833.18,2014-09-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,93,875489.3400000001,2014-09-01,25
dunedin city,Dunedin Central/Green Island,10,144,1353116.9700000002,2015-09-01,25
lower hutt city,Other - Lower Hutt City,4,50,379975.39,2015-09-01,25
lower hutt city,Stokes Valley,3,41,355341.78,2015-09-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,205434.88,2015-09-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,58,659046.2,2015-09-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,535566.42,2015-09-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,93,805005.27,2015-09-01,25
dunedin city,Dunedin Central/Green Island,9,138,1318690.1700000002,2016-09-01,25
lower hutt city,Other - Lower Hutt City,4,50,407241.26999999996,2016-09-01,25
lower hutt city,Stokes Valley,3,41,402324.6,2016-09-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,30,244022.91,2016-09-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,8,67,673643.55,2016-09-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,520815.33999999997,2016-09-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,93,951085.8600000001,2016-09-01,25
dunedin city,Dunedin Central/Green Island,10,143,1323393.29,2017-09-01,25
lower hutt city,Other - Lower Hutt City,3,46,403870.6100000003,2017-09-01,25
lower hutt city,Stokes Valley,3,38,467119.89,2017-09-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,4,39,254051.90000000017,2017-09-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,8,73,723870.6899999998,2017-09-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,599214.75,2017-09-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,6,88,952205.7400000005,2017-09-01,25
dunedin city,Dunedin Central/Green Island,9,132,1479981.59,2018-09-01,25
lower hutt city,Other - Lower Hutt City,3,46,502508.3600000004,2018-09-01,25
lower hutt city,Stokes Valley,3,38,398926.75,2018-09-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,615260.0800000002,2018-09-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,6,88,1118242.1400000001,2018-09-01,25
dunedin city,Dunedin Central/Green Island,9,131,1461687.2300000002,2019-09-01,25
lower hutt city,Other - Lower Hutt City,3,46,532954,2019-09-01,25
lower hutt city,Stokes Valley,2,25,402904.3099999998,2019-09-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,60,655534.4999999999,2019-09-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,6,88,1063291.6900000002,2019-09-01,25
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1576881.49,2011-12-01,24
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,48,731860.2899999999,2011-12-01,24
christchurch city,Addington/ Middleton/ Waltham,4,64,726231.47,2011-12-01,24
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,5,72,1136848.7599999998,2011-12-01,24
christchurch city,Halswell,3,45,851416.29,2011-12-01,24
christchurch city,Riccarton,6,107,1458749.25,2011-12-01,24
christchurch city,Sydenham,5,75,542123.05,2011-12-01,24
christchurch city,Hornby,4,72,1044287.31,2011-12-01,24
christchurch city,Bishopdale,3,54,1465773.2300000002,2011-12-01,24
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,4,72,1070587.66,2011-12-01,24
christchurch city,Shirley,5,76,1055770.56,2011-12-01,24
christchurch city,Lyttleton,5,30,222556.60000000003,2011-12-01,24
christchurch city,Woolston,3,54,1150996.66,2011-12-01,24
christchurch city,Beckenham/ Cashmere/ Ferrymead/ Hilsborough/ Huntsbury/ Opawa/ Sumner,7,87,1112459.5,2011-12-01,24
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1685143.4,2013-12-01,24
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,48,740270.55,2013-12-01,24
christchurch city,Addington/ Middleton/ Waltham,3,46,597911.44,2013-12-01,24
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,4,72,991919.99,2013-12-01,24
christchurch city,Halswell,3,45,674819.65,2013-12-01,24
christchurch city,Riccarton,5,89,1325687.94,2013-12-01,24
christchurch city,Sydenham,5,57,627913.4,2013-12-01,24
christchurch city,Hornby,4,72,1090152.1800000002,2013-12-01,24
christchurch city,Bishopdale,3,54,1519712.37,2013-12-01,24
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,4,54,869023.47,2013-12-01,24
christchurch city,Shirley,5,76,1057741.1199999999,2013-12-01,24
christchurch city,Lyttleton,4,29,172729.44999999998,2013-12-01,24
christchurch city,Woolston,3,54,1041963.34,2013-12-01,24
christchurch city,Beckenham/ Cashmere/ Ferrymead/ Hilsborough/ Huntsbury/ Opawa/ Sumner,6,91,1187020.6,2013-12-01,24
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1807715.8,2014-12-01,24
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,49,768032.3,2014-12-01,24
christchurch city,Addington/ Middleton/ Waltham,3,46,523238,2014-12-01,24
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,3,54,670216.6599999999,2014-12-01,24
christchurch city,Halswell,3,45,648133.34,2014-12-01,24
christchurch city,Riccarton,6,105,1477101.43,2014-12-01,24
christchurch city,Sydenham,4,54,673917.76,2014-12-01,24
christchurch city,Hornby,4,72,1202412.43,2014-12-01,24
christchurch city,Bishopdale,3,54,1498941.66,2014-12-01,24
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,4,54,854340.19,2014-12-01,24
christchurch city,Shirley,5,76,1235607.41,2014-12-01,24
christchurch city,Lyttleton,4,29,191590.66000000003,2014-12-01,24
christchurch city,Woolston,3,54,1044162.3099999999,2014-12-01,24
christchurch city,Beckenham/ Cashmere/ Ferrymead/ Hilsborough/ Huntsbury/ Opawa/ Sumner,6,91,1247386.2200000002,2014-12-01,24
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1695073.7799999998,2015-12-01,24
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,49,773242.69,2015-12-01,24
christchurch city,Addington/ Middleton/ Waltham,3,44,600218.29,2015-12-01,24
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,4,72,1039919.6300000001,2015-12-01,24
christchurch city,Halswell,3,45,619706.6799999999,2015-12-01,24
christchurch city,Riccarton,5,89,1339614.47,2015-12-01,24
christchurch city,Sydenham,3,54,522290,2015-12-01,24
christchurch city,Hornby,4,72,1039093.98,2015-12-01,24
christchurch city,Bishopdale,3,54,1452336.57,2015-12-01,24
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,3,54,816553.26,2015-12-01,24
christchurch city,Shirley,5,76,1103302.33,2015-12-01,24
christchurch city,Lyttleton,4,29,193262.46,2015-12-01,24
christchurch city,Woolston,3,54,995320.8200000001,2015-12-01,24
christchurch city,Beckenham/ Cashmere/ Ferrymead/ Hilsborough/ Huntsbury/ Opawa/ Sumner,6,91,1239604.4300000002,2015-12-01,24
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1761858.74,2016-12-01,24
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,49,803049.1599999998,2016-12-01,24
christchurch city,Addington/ Middleton/ Waltham,3,44,547822.5799999998,2016-12-01,24
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,4,72,1074164.4400000002,2016-12-01,24
christchurch city,Halswell,3,45,593952.56,2016-12-01,24
christchurch city,Riccarton,6,86,1006543.15,2016-12-01,24
christchurch city,Sydenham,3,54,497047.9000000001,2016-12-01,24
christchurch city,Hornby,3,54,960042.7100000001,2016-12-01,24
christchurch city,Bishopdale,3,54,1380350.58,2016-12-01,24
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,3,54,822998.05,2016-12-01,24
christchurch city,Shirley,5,74,1065887.31,2016-12-01,24
christchurch city,Lyttleton,4,35,179172.02000000002,2016-12-01,24
christchurch city,Woolston,3,54,943104.77,2016-12-01,24
christchurch city,Beckenham/ Cashmere/ Ferrymead/ Hilsborough/ Huntsbury/ Opawa/ Sumner,6,91,1178815.85,2016-12-01,24
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1752552.02,2017-12-01,24
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,3,42,825446.8,2017-12-01,24
christchurch city,Addington/ Middleton/ Waltham,3,44,477347.41999999987,2017-12-01,24
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,4,72,1152909.4400000002,2017-12-01,24
christchurch city,Halswell,3,45,639052.9099999999,2017-12-01,24
christchurch city,Riccarton,6,84,996470.0399999999,2017-12-01,24
christchurch city,Sydenham,3,54,487880.95000000007,2017-12-01,24
christchurch city,Hornby,4,72,957208.02,2017-12-01,24
christchurch city,Bishopdale,3,54,1425196.7,2017-12-01,24
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,4,63,846450.4400000003,2017-12-01,24
christchurch city,Shirley,5,74,1076059.95,2017-12-01,24
christchurch city,Lyttleton,3,34,203505.16,2017-12-01,24
christchurch city,Woolston,3,54,901943.8700000001,2017-12-01,24
christchurch city,Beckenham/ Cashmere/ Ferrymead/ Hilsborough/ Huntsbury/ Opawa/ Sumner,6,91,1156903.77,2017-12-01,24
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1501231.21,2012-06-01,24
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,48,665374.1200000001,2012-06-01,24
christchurch city,Addington/ Middleton/ Waltham,4,64,566317.8400000001,2012-06-01,24
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,5,72,1103080.62,2012-06-01,24
christchurch city,Halswell,3,45,774297.8,2012-06-01,24
christchurch city,Riccarton,6,107,1251511.0399999998,2012-06-01,24
christchurch city,Sydenham,5,57,566279.64,2012-06-01,24
christchurch city,Hornby,4,72,1062336.52,2012-06-01,24
christchurch city,Bishopdale,3,54,1406237.3900000001,2012-06-01,24
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,4,54,822869.6699999999,2012-06-01,24
christchurch city,Shirley,5,76,953907.0599999999,2012-06-01,24
christchurch city,Lyttleton,5,30,178081.22999999998,2012-06-01,24
christchurch city,Woolston,3,54,1038699.1199999999,2012-06-01,24
christchurch city,Beckenham/ Cashmere/ Ferrymead/ Hilsborough/ Huntsbury/ Opawa/ Sumner,7,87,1034955.1299999999,2012-06-01,24
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1645405.05,2013-06-01,24
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,48,781092.51,2013-06-01,24
christchurch city,Addington/ Middleton/ Waltham,4,64,545271.7200000001,2013-06-01,24
